City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Puerto Ayora,-0.7393,-90.3518,67.62,80,44,7.78,EC,1636865137
Gouré,13.9835,10.2704,77.02,17,10,8.7,NE,1636865516
Nelson Bay,-32.7167,152.15,75.99,33,9,4.0,AU,1636865517
Port Alfred,-33.5906,26.891,64.44,76,74,14.99,ZA,1636865166
Umeå,63.8284,20.2597,22.93,93,0,3.44,SE,1636865518
Vaini,-21.2,-175.2,77.16,83,20,10.36,TO,1636865184
Charqueada,-22.5097,-47.7781,53.08,85,29,3.44,BR,1636865520
Johor Bahru,1.4655,103.7578,89.51,62,75,3.44,MY,1636865520
Qaanaaq,77.484,-69.3632,-9.87,55,0,8.48,GL,1636865127
Maxixe,-23.8597,35.3472,78.19,76,72,7.43,MZ,1636865522
Mar del Plata,-38.0023,-57.5575,65.08,91,90,50.0,AR,1636865118
Sayyan,15.1718,44.3244,53.8,21,0,4.27,YE,1636865523
Cherskiy,68.75,161.3,15.6,97,100,2.08,RU,1636865359
Harku,59.1325,24.3711,32.49,93,95,2.71,EE,1636865525
Ilulissat,69.2167,-51.1,-13.41,72,44,7.07,GL,1636865407
Garden City,42.3256,-83.331,40.21,82,90,13.8,US,1636865526
Pāveh,35.0434,46.3565,28.6,46,17,6.62,IR,1636865527
Zhicheng,30.2956,111.5047,68.14,39,0,4.79,CN,1636865528
Nome,64.5011,-165.4064,21.27,86,90,0.0,US,1636865364
San Policarpo,12.1791,125.5072,83.16,80,99,6.55,PH,1636865529
Iqaluit,63.7506,-68.5145,-4.27,76,20,15.99,CA,1636865286
Leningradskiy,69.3833,178.4167,2.66,98,99,2.24,RU,1636865194
Nehe,48.4833,124.8333,31.1,73,3,6.98,CN,1636865531
Lorengau,-2.0226,147.2712,83.91,77,66,7.47,PG,1636865532
Avarua,-21.2078,-159.775,77.05,83,100,3.44,CK,1636865182
Carnarvon,-24.8667,113.6333,78.87,53,2,13.8,AU,1636865242
Kapaa,22.0752,-159.319,80.58,77,1,1.99,US,1636865155
Jamestown,42.097,-79.2353,39.52,99,90,10.0,US,1636865157
Narsaq,60.9167,-46.05,2.48,83,2,2.98,GL,1636865469
Chui,-33.6971,-53.4616,63.61,76,55,15.86,UY,1636865317
Bluff,-46.6,168.3333,53.1,83,97,9.73,NZ,1636865536
Iváncsa,47.1567,18.8203,41.7,62,93,4.25,HU,1636865537
Mareeba,-17.0,145.4333,86.43,65,83,10.65,AU,1636865538
Constitución,-35.3333,-72.4167,48.33,79,0,9.95,CL,1636865538
Rocha,-34.4833,-54.3333,61.05,79,82,16.84,UY,1636865539
Mnogovershinnyy,53.9353,139.9242,20.52,85,96,15.03,RU,1636865172
Lebu,-37.6167,-73.65,48.29,83,7,5.28,CL,1636865184
Mossamedes,-15.1961,12.1522,70.34,84,92,2.28,AO,1636865172
Karasuk,53.7377,78.0403,30.96,92,100,16.93,RU,1636865541
Yellowknife,62.456,-114.3525,25.32,100,90,10.36,CA,1636864891
Amuntai,-2.4177,115.2494,90.39,57,76,3.71,ID,1636865543
Nikolskoye,59.7035,30.7861,38.88,91,100,5.21,RU,1636865143
Hermanus,-34.4187,19.2345,59.9,81,72,8.05,ZA,1636865131
Tucumã,-0.1833,-50.05,76.98,83,9,5.77,BR,1636865545
Mopipi,-21.1833,24.8833,80.55,35,16,13.71,BW,1636865546
Mayor Pablo Lagerenza,-19.9309,-60.7718,77.61,75,39,6.29,PY,1636865546
Carahue,-38.7,-73.1667,44.8,95,45,2.24,CL,1636865547
Zaysan,47.4667,84.8667,35.87,72,81,1.61,KZ,1636865548
Mananjary,-21.2167,48.3333,81.1,67,100,11.99,MG,1636865549
Saint-Philippe,-21.3585,55.7679,83.48,78,100,15.77,RE,1636865549
Kahului,20.8947,-156.47,82.42,68,40,5.75,US,1636865397
Bredasdorp,-34.5322,20.0403,59.29,76,51,2.06,ZA,1636865551
Port Elizabeth,-33.918,25.5701,62.89,77,40,13.8,ZA,1636865552
Codrington,-38.2667,141.9667,53.38,57,97,24.81,AU,1636865215
Ilanskiy,56.2358,96.065,28.56,79,97,7.58,RU,1636865553
Tomatlán,19.9333,-105.25,70.74,91,1,3.38,MX,1636865554
Cândido Mendes,-1.4467,-45.7167,75.06,90,16,2.21,BR,1636865555
Itarema,-2.9248,-39.9167,79.65,82,57,10.74,BR,1636865555
Punta Alta,-38.8759,-62.0736,57.15,63,33,18.68,AR,1636865556
Māndalgarh,25.2,75.1,74.7,28,0,4.68,IN,1636865557
Santiago del Estero,-27.7951,-64.2615,73.13,85,6,21.16,AR,1636865485
Tezu,27.9167,96.1667,77.88,28,1,3.31,IN,1636865431
Naze,28.3667,129.4833,67.12,67,94,14.67,JP,1636865342
Chokurdakh,70.6333,147.9167,-5.91,94,100,8.84,RU,1636865161
Bethel,41.3712,-73.414,41.09,75,1,9.22,US,1636865291
Geraldton,-28.7667,114.6,75.61,64,20,17.27,AU,1636865218
Ostrovnoy,68.0531,39.5131,30.92,74,100,23.35,RU,1636865138
Kiunga,-6.1219,141.2906,88.05,64,100,1.36,PG,1636865562
Rawson,-43.3002,-65.1023,60.71,40,100,30.58,AR,1636865246
Qiqihar,47.3408,123.9672,33.01,74,62,3.91,CN,1636865563
Atambua,-9.1061,124.8925,81.5,75,97,2.13,ID,1636865357
La Palma,33.8464,-118.0467,79.93,44,1,0.0,US,1636865564
Hithadhoo,-0.6,73.0833,82.72,72,62,13.2,MV,1636865186
Arrondissement de Mont-de-Marsan,44.0,-0.6667,55.78,100,90,5.75,FR,1636865566
Saint George,37.1041,-113.5841,67.35,46,1,4.61,US,1636865171
Bozdar Wada,27.1828,68.636,66.27,11,0,0.67,PK,1636865568
Vilhena,-12.7406,-60.1458,68.29,99,89,3.2,BR,1636865568
Ajdabiya,30.7554,20.2263,63.09,63,64,10.54,LY,1636865569
Lubawa,53.5043,19.7497,36.36,92,62,3.6,PL,1636865570
Shingū,33.7333,135.9833,65.39,79,100,3.65,JP,1636865570
San José de Ocoa,18.55,-70.5,73.36,93,100,4.61,DO,1636865572
Panabá,21.2833,-88.2667,72.66,84,12,8.23,MX,1636865573
Kiama,-34.6833,150.8667,69.39,46,65,18.01,AU,1636865574
Saint-Leu,-21.15,55.2833,81.43,70,93,3.76,RE,1636865415
Te Anau,-45.4167,167.7167,51.46,91,99,1.16,NZ,1636865575
Taoudenni,22.6783,-3.9836,72.12,17,25,7.02,ML,1636865473
Japura,-0.3167,102.35,87.06,61,96,2.1,ID,1636865576
Ballitoville,-29.539,31.2144,69.17,88,75,8.05,ZA,1636865577
Bengkulu,-3.8004,102.2655,83.64,72,74,7.18,ID,1636865380
Arraial do Cabo,-22.9661,-42.0278,67.77,64,89,7.78,BR,1636865159
East London,-33.0153,27.9116,65.34,68,40,8.05,ZA,1636865235
Inírida,3.8653,-67.9239,73.56,98,99,0.51,CO,1636865580
Dikson,73.5069,80.5464,-11.6,96,13,6.44,RU,1636865238
Urengoy,65.9667,78.3667,-1.41,95,28,10.8,RU,1636865581
Margate,51.3813,1.3862,52.3,90,100,3.0,GB,1636865582
Lumut,4.2323,100.6298,88.16,70,40,4.61,MY,1636865583
Bagdarin,54.4333,113.6,22.14,54,15,1.81,RU,1636865584
Makakilo City,21.3469,-158.0858,77.32,67,20,5.75,US,1636865585
Aksarka,66.5606,67.7975,-2.96,95,65,3.51,RU,1636865586
Springfield,37.2153,-93.2982,44.22,62,75,1.99,US,1636865455
Sisimiut,66.9395,-53.6735,6.33,82,13,9.55,GL,1636865587
Pacific Grove,36.6177,-121.9166,65.43,78,1,1.99,US,1636865049
São João da Barra,-21.6403,-41.0511,67.3,67,98,5.39,BR,1636865258
Haines Junction,60.7522,-137.5108,17.55,79,88,1.14,CA,1636865589
Khatanga,71.9667,102.5,-8.48,92,100,2.55,RU,1636865170
Yerbogachën,61.2767,108.0108,13.84,92,100,6.44,RU,1636865421
Auki,-8.7676,160.7034,84.07,72,26,2.98,SB,1636865331
Upernavik,72.7868,-56.1549,5.49,94,97,6.11,GL,1636865354
Airai,-8.9266,125.4092,70.86,79,90,1.34,TL,1636865163
Butaritari,3.0707,172.7902,82.62,74,25,14.56,KI,1636865252
Liwale,-9.7667,37.9333,75.42,69,94,6.87,TZ,1636865593
Río Gallegos,-51.6226,-69.2181,46.45,93,90,4.61,AR,1636865594
Norman Wells,65.282,-126.8329,15.84,79,90,16.11,CA,1636865405
Fomboni,-12.28,43.7425,80.55,74,30,16.78,KM,1636865595
Hambantota,6.1241,81.1185,86.34,79,40,10.36,LK,1636865596
Phulpur,25.55,82.1,77.2,39,1,4.65,IN,1636865596
Klaksvík,62.2266,-6.589,49.12,97,100,29.15,FO,1636865152
Coyhaique,-45.5752,-72.0662,48.15,66,90,6.91,CL,1636865598
Aykhal,66.0,111.5,-5.24,92,100,8.81,RU,1636865433
Damaturu,11.747,11.9608,72.99,22,5,5.73,NG,1636865599
Pevek,69.7008,170.3133,10.81,90,100,1.63,RU,1636865258
Masuri,35.8488,128.1492,60.35,45,11,8.01,KR,1636865601
Mahébourg,-20.4081,57.7,81.25,69,40,12.66,MU,1636865153
Tuktoyaktuk,69.4541,-133.0374,15.8,92,90,11.5,CA,1636865181
Jalu,29.0331,21.5482,61.88,61,79,7.74,LY,1636865603
George Town,5.4112,100.3354,84.15,79,40,1.99,MY,1636865605
Kruisfontein,-34.0033,24.7314,57.88,65,97,9.04,ZA,1636865605
Tabou,4.423,-7.3528,76.35,87,66,1.97,CI,1636865606
Tuatapere,-46.1333,167.6833,53.06,92,99,2.82,NZ,1636865409
Luzhou,28.8724,105.4405,57.09,62,84,1.72,CN,1636865608
Alpatovo,43.7028,45.2415,43.57,74,1,4.0,RU,1636865609
Olafsvik,64.8945,-23.7142,46.65,91,100,36.28,IS,1636865609
Clyde River,70.4692,-68.5914,-4.0,85,47,7.76,CA,1636865329
Cam Ranh,11.9214,109.1591,76.96,94,75,6.91,VN,1636865611
Ternate,0.8,127.4,84.02,74,91,6.49,ID,1636865611
Souillac,-20.5167,57.5167,81.36,69,40,12.66,MU,1636865612
San Patricio,28.017,-97.5169,66.04,55,1,7.18,US,1636865613
Esperance,-33.8667,121.9,67.84,51,8,16.84,AU,1636865614
Linqiong,30.4159,103.4609,53.42,54,33,4.68,CN,1636865615
Nguru,12.8791,10.4526,74.8,20,30,6.85,NG,1636865616
Kavieng,-2.5744,150.7967,83.88,74,52,10.02,PG,1636865616
Agadir,30.4202,-9.5982,50.45,75,0,1.59,MA,1636865617
Cayenne,4.9333,-52.3333,80.1,86,0,1.01,GF,1636865366
Pangnirtung,66.1451,-65.7125,-2.85,87,93,5.1,CA,1636865618
Fortuna,40.5982,-124.1573,54.66,74,90,6.91,US,1636865620
Landau,49.2075,8.1133,48.81,95,100,3.58,DE,1636865620
Lagunas,-5.2269,-75.6753,73.04,88,70,1.25,PE,1636865621
Kaitangata,-46.2817,169.8464,55.92,83,100,3.36,NZ,1636865622
Beringovskiy,63.05,179.3167,27.97,98,100,3.36,RU,1636865623
Alofi,-19.0595,-169.9187,78.69,83,62,8.05,NU,1636865623
Terrell,32.736,-96.2753,55.22,64,2,11.61,US,1636865624
Thompson,55.7435,-97.8558,23.16,80,90,3.44,CA,1636865432
Provideniya,64.3833,-173.3,21.74,97,98,4.03,RU,1636865626
Faanui,-16.4833,-151.75,79.59,72,100,12.01,PF,1636865627
Hasaki,35.7333,140.8333,68.29,49,79,17.34,JP,1636865628
Hofn,64.2539,-15.2082,48.04,93,100,26.93,IS,1636865629
Atasū,48.6814,71.6433,31.55,49,100,19.82,KZ,1636865629
Smithers,54.7804,-127.1743,30.52,100,90,2.3,CA,1636865630
Praia da Vitória,38.7333,-27.0667,61.05,94,75,19.6,PT,1636865631
Bubaque,11.2833,-15.8333,84.16,64,100,11.86,GW,1636865632
Noumea,-22.2763,166.4572,85.98,99,46,7.43,NC,1636865543
Arlit,18.7369,7.3853,74.77,16,74,2.01,NE,1636865633
Adrar,20.5022,-10.0711,71.04,45,20,7.58,MR,1636865634
Qasigiannguit,68.8193,-51.1922,-11.33,76,40,6.71,GL,1636865634
Laguna,38.421,-121.4238,61.3,96,90,1.01,US,1636865635
Beaverlodge,55.2166,-119.4361,29.55,72,100,1.32,CA,1636865636
Tocopilla,-22.092,-70.1979,62.26,76,65,0.6,CL,1636865637
Kokopo,-4.352,152.2633,84.16,70,95,4.29,PG,1636865637
Saint Paul Harbor,57.79,-152.4072,23.92,75,62,10.83,US,1636865638
Moroni,-11.7022,43.2551,81.73,66,14,1.97,KM,1636865639
Haapsalu,58.9431,23.5414,32.99,88,91,5.14,EE,1636865639
Daru,-9.0763,143.2092,86.18,67,86,9.86,PG,1636865641
Ixtapa,20.7,-105.2,70.84,78,0,2.91,MX,1636865642
Egvekinot,66.3167,-179.1667,4.71,90,82,6.51,RU,1636865642
Guaporé,-28.8456,-51.8903,55.13,87,0,3.53,BR,1636865643
The Valley,18.217,-63.0578,81.1,73,60,18.61,AI,1636865644
Kidal,18.4411,1.4078,75.15,14,99,8.55,ML,1636865644
Dhārchula,29.85,80.5333,68.99,25,0,4.68,IN,1636865645
Puerto Escondido,15.85,-97.0667,76.24,61,12,4.94,MX,1636865646
El Tejar,14.6478,-90.7928,59.4,97,31,5.23,GT,1636865647
Nanortalik,60.1432,-45.2371,20.91,68,3,33.33,GL,1636865648
Sørland,67.667,12.6934,40.44,63,82,14.45,NO,1636865649
Ivanovka,42.8878,75.085,39.63,44,96,0.25,KG,1636865650
Ulaanbaatar,47.9077,106.8832,30.33,40,12,2.24,MN,1636865651
Kwidzyn,53.7249,18.9311,40.24,93,25,4.65,PL,1636865651
São Gabriel da Cachoeira,-0.1303,-67.0892,72.72,98,97,0.69,BR,1636865652
‘Āhuimanu,21.4447,-157.8378,78.51,70,1,8.05,US,1636865653
Knysna,-34.0363,23.0471,55.78,81,73,2.73,ZA,1636865654
Aranda de Duero,41.6704,-3.6892,39.74,87,69,3.49,ES,1636865654
Portland,45.5234,-122.6762,61.5,95,90,3.0,US,1636865122
Muros,42.7762,-9.0603,54.84,85,20,7.02,ES,1636865656
Sal Rei,16.1833,-22.9167,72.16,69,73,8.95,CV,1636865656
Oudtshoorn,-33.5907,22.2014,52.16,72,58,2.42,ZA,1636865657
Cabo San Lucas,22.8909,-109.9124,78.51,73,30,5.82,MX,1636865562
Miyang,24.4042,103.4428,51.51,97,100,3.87,CN,1636865658
Guerrero Negro,27.9769,-114.0611,68.54,54,34,7.02,MX,1636865659
Zabul Province,32.25,67.25,48.27,14,2,13.89,AF,1636865660
Los Llanos de Aridane,28.6585,-17.9182,62.35,59,0,9.22,ES,1636865661
Asău,46.4333,26.4,40.28,76,100,2.53,RO,1636865661
Chiredzi,-21.05,31.6667,80.71,52,11,3.69,ZW,1636865662
Tulum,20.2167,-87.4667,73.92,96,66,5.75,MX,1636865663
Dunedin,-45.8742,170.5036,54.81,66,100,3.0,NZ,1636865379
Santa Vitória do Palmar,-33.5189,-53.3681,63.99,76,36,16.11,BR,1636865665
Revelstoke,50.9832,-118.2023,41.02,87,90,19.57,CA,1636865665
Payo,-3.7508,103.6372,87.08,62,99,2.53,ID,1636865666
Beloha,-25.1667,45.05,80.51,58,8,8.08,MG,1636865667
Henties Bay,-22.116,14.2845,55.85,89,80,3.47,NA,1636865668
Manaure,11.7751,-72.4445,79.07,83,39,12.84,CO,1636865669
Kumul,42.8,93.45,37.42,31,39,4.03,CN,1636865669
Enshi,30.3,109.4833,63.52,50,1,1.05,CN,1636865670
Preiļi,56.2944,26.7246,35.38,90,100,5.35,LV,1636865671
Namie,37.4833,141.0,66.96,38,97,1.99,JP,1636865671
Podor,16.6527,-14.9587,79.59,37,82,1.01,MR,1636865674
Paysandu,-32.3214,-58.0756,64.6,95,99,19.89,UY,1636865675
Saquarema,-22.92,-42.5103,64.13,79,97,6.69,BR,1636865675
Kununurra,-15.7667,128.7333,98.58,22,86,8.05,AU,1636865676
Tambo Grande,-4.9269,-80.3447,67.21,71,15,6.64,PE,1636865677
Bodinayakkanur,10.0167,77.35,80.6,82,81,5.84,IN,1636865677
Lagoa,39.05,-27.9833,61.54,73,100,29.42,PT,1636865678
Manoharpur,27.3,75.95,74.35,21,0,3.22,IN,1636865679
Mount Isa,-20.7333,139.5,80.37,18,1,16.11,AU,1636865680
Ponta do Sol,32.6667,-17.1,68.63,62,15,2.84,PT,1636865680
Zaoyang,32.1272,112.7542,64.35,32,0,1.41,CN,1636865681
Bassila,9.0081,1.6654,73.49,78,45,2.95,BJ,1636865682
Nālūt,30.3333,10.85,57.78,72,0,10.6,LY,1636865402
San Lorenzo,-25.3333,-57.5333,77.94,50,0,11.99,PY,1636865683
Ōtsu,35.0044,135.8683,63.52,64,76,6.71,JP,1636865583
Thessalon,46.2501,-83.5666,36.09,89,68,10.85,CA,1636865684
Shelburne,44.0787,-80.2041,34.84,98,85,9.95,CA,1636865685
Balyqshy,47.0667,51.8667,35.6,80,75,8.95,KZ,1636865686
Jiuquan,39.7432,98.5174,43.3,19,86,2.75,CN,1636865687
Gillette,44.2911,-105.5022,41.23,45,100,8.99,US,1636865687
Laas,46.6166,10.7002,42.26,99,100,3.06,IT,1636865688
Peleduy,59.6289,112.7406,20.82,85,100,7.16,RU,1636865689
Broome,42.2506,-75.833,40.84,73,90,3.0,US,1636865690
Brae,60.3964,-1.353,49.91,90,97,24.4,GB,1636865690
Alyangula,-13.8483,136.4192,89.47,37,99,9.22,AU,1636865691
Kedrovyy,56.1667,91.8167,28.81,82,100,7.23,RU,1636865692
Masterton,-40.9597,175.6575,64.94,68,39,14.54,NZ,1636865693
Lompoc,34.6391,-120.4579,71.53,72,1,8.05,US,1636865694
Narón,43.5167,-8.1528,47.01,78,16,5.35,ES,1636865695
Vanimo,-2.6741,141.3028,84.94,70,97,3.74,PG,1636865695
Dongsheng,39.8161,109.9776,40.01,24,0,14.83,CN,1636865696
Benton Harbor,42.1167,-86.4542,40.17,71,100,7.0,US,1636865697
Eureka,40.8021,-124.1637,54.93,93,64,4.21,US,1636865698
Roald,62.5833,6.1333,43.32,87,68,5.75,NO,1636865699
Chuncheng,22.1731,111.7886,77.02,42,23,5.03,CN,1636865700
Izhma,65.0083,53.9113,23.11,87,100,7.0,RU,1636865700
Valdivia,-39.8142,-73.2459,46.49,99,62,2.53,CL,1636865701
São José da Coroa Grande,-8.8978,-35.1478,77.95,78,32,7.29,BR,1636865532
Kokuy,52.2037,117.5529,29.5,47,1,5.93,RU,1636865703
Montrose,38.4166,-108.2673,35.37,63,1,1.01,US,1636865704
Tucuruí,-3.7661,-49.6725,74.8,93,48,4.18,BR,1636865705
Graaff-Reinet,-32.2522,24.5308,58.93,78,76,0.25,ZA,1636865705
Synya,65.3718,58.0387,15.96,97,97,3.76,RU,1636865706
Tasiilaq,65.6145,-37.6368,33.01,86,100,25.26,GL,1636865707
Tornio,65.8481,24.1466,14.02,84,6,5.08,FI,1636865708
Cap Malheureux,-19.9842,57.6142,81.09,69,99,8.99,MU,1636865709
Sandwick,60.0,-1.25,49.82,87,90,17.27,GB,1636865709
Ballina,-28.8667,153.5667,80.78,35,0,14.97,AU,1636865710
Burnie,-41.0667,145.9167,55.92,67,81,19.44,AU,1636865711
Sittwe,20.15,92.9,84.85,66,83,2.06,MM,1636865712
Sitka,57.0531,-135.33,35.56,86,100,4.92,US,1636865712
Kaka,37.3482,59.6143,51.3,56,4,3.11,TM,1636865713
Kungurtug,50.5994,97.5228,27.63,57,39,1.41,RU,1636865714
Vestmannaeyjar,63.4427,-20.2734,48.6,85,100,36.1,IS,1636865715
Batagay-Alyta,67.8006,130.4114,-17.57,90,61,3.6,RU,1636865715
Zhigansk,66.7697,123.3711,-23.21,98,42,5.73,RU,1636865716
Ust'-Koksa,50.2696,85.6108,31.23,82,100,3.44,RU,1636865717
Tutóia,-2.7619,-42.2744,77.83,88,10,8.63,BR,1636865718
Babynino,54.39,35.73,33.55,77,100,4.54,RU,1636865719
Lima,-12.0432,-77.0282,63.9,81,90,2.3,PE,1636865580
Sinnamary,5.3833,-52.95,77.83,84,31,7.2,GF,1636865720
San Miguel de Tucumán,-26.8241,-65.2226,84.2,51,75,4.61,AR,1636865664
Gohpur,26.8833,93.6333,79.05,57,1,3.18,IN,1636865721
Lata,40.1629,-8.3327,54.81,67,11,3.85,PT,1636865722
Palmer,42.1584,-72.3287,39.51,77,20,1.99,US,1636865723
Vila Franca do Campo,37.7167,-25.4333,62.2,89,100,23.49,PT,1636865724
Lipin Bor,60.2622,37.9763,30.63,95,100,8.12,RU,1636865724
Comodoro Rivadavia,-45.8667,-67.5,57.06,35,0,34.52,AR,1636865725
Ucluelet,48.9329,-125.5528,48.09,91,100,1.99,CA,1636865481
Along,28.1667,94.7667,76.91,37,5,1.68,IN,1636865727
Buin,-33.7333,-70.75,63.73,58,0,2.21,CL,1636865728
Kabanjahe,3.1001,98.4908,79.43,54,100,2.98,ID,1636865728
Buta,2.7858,24.73,69.44,90,40,1.66,CD,1636865729
Chivacoa,10.1603,-68.895,72.73,96,94,4.52,VE,1636865730
Tual,-5.6667,132.75,83.62,75,100,7.07,ID,1636865731
Salinas,36.6777,-121.6555,66.72,55,1,4.63,US,1636865690
Lavrentiya,65.5833,-171.0,12.83,96,81,4.94,RU,1636865732
Coahuayana Viejo,18.7333,-103.6833,73.24,89,0,4.12,MX,1636865733
Zilupe,56.3862,28.1217,34.47,93,100,3.24,LV,1636865733
Jacareacanga,-6.2222,-57.7528,73.04,99,100,0.63,BR,1636865734
Warrnambool,-38.3833,142.4833,52.81,61,89,29.24,AU,1636865735
Pisco,-13.7,-76.2167,62.65,82,20,0.0,PE,1636865687
Coquimbo,-29.9533,-71.3436,55.13,82,0,3.44,CL,1636865736
Ushtobe,45.2514,77.9838,46.26,52,100,5.99,KZ,1636865737
Guarapari,-20.6667,-40.4975,64.29,79,98,4.97,BR,1636865738
Madona,56.8533,26.217,35.28,92,100,3.58,LV,1636865738
Orlovskiy,46.8714,42.0592,34.18,86,24,6.4,RU,1636865739
Bilibino,68.0546,166.4372,10.02,92,100,5.17,RU,1636865740
Sernovodsk,43.3117,45.1594,43.81,88,7,2.89,RU,1636865741
Kimbe,-5.5502,150.1429,84.85,78,94,2.1,PG,1636865741
Bandarbeyla,9.4942,50.8122,79.95,72,94,14.09,SO,1636865742
Ténenkou,14.4572,-4.9169,75.04,22,67,9.91,ML,1636865743
Olinda,-8.0089,-34.8553,80.33,74,40,9.22,BR,1636865745
Southbridge,42.0751,-72.0334,39.43,79,26,1.01,US,1636865745
Yar-Sale,66.8333,70.8333,1.36,98,71,6.04,RU,1636865746
Kangaatsiaq,68.3065,-53.4641,9.36,91,67,11.52,GL,1636865747
Poya,-21.35,165.15,81.93,69,79,6.87,NC,1636865748
Yulara,-25.2406,130.9889,76.84,18,0,5.75,AU,1636865748
Saint Anthony,45.0205,-93.218,34.3,92,90,1.01,US,1636865749
San Quintín,30.4833,-115.95,66.83,49,0,1.61,MX,1636865750
Juradó,7.1053,-77.7641,75.81,92,100,3.42,CO,1636865751
Banda Aceh,5.5577,95.3222,84.47,68,98,12.71,ID,1636865751
Lac du Bonnet,50.2536,-96.0612,21.58,98,100,3.11,CA,1636865752
Aklavik,68.2191,-135.0107,13.03,93,100,9.28,CA,1636865753
Tiksi,71.6872,128.8694,-11.94,99,96,6.22,RU,1636865754
Saldanha,-33.0117,17.9442,62.53,81,35,11.16,ZA,1636865755
Grand Gaube,-20.0064,57.6608,81.0,69,99,8.99,MU,1636865706
Baykit,61.67,96.37,16.74,94,100,4.21,RU,1636865756
Russell,32.3502,-85.1999,39.11,86,1,3.44,US,1636865757
Mathathane,-22.2687,28.7495,81.91,43,74,10.2,BW,1636865758
Acaraú,-2.8856,-40.12,79.48,82,62,10.58,BR,1636865758
Sanok,49.5557,22.2056,39.85,67,92,1.74,PL,1636865759
Monrovia,6.3005,-10.7969,71.37,87,100,4.38,LR,1636865760
Icod de los Vinos,28.3724,-16.7119,64.36,67,6,5.28,ES,1636865760
Necochea,-38.5473,-58.7368,61.84,89,100,11.88,AR,1636865761
Bulungu,-4.55,18.6,68.36,96,100,2.39,CD,1636865762
Narok,-1.0783,35.8601,63.7,70,49,9.82,KE,1636865763
Shiyan,32.6475,110.7781,62.4,36,8,2.95,CN,1636865764
